그룹,진료년도,성별,연령,진료인원
그룹4,2021,남자,45-49세,7103
그룹4,2021,남자,50-54세,11156
그룹4,2021,남자,55-59세,14843
그룹4,2021,남자,60-64세,19992
그룹4,2021,남자,65-69세,20337
그룹4,2021,남자,70-74세,19774
그룹4,2021,남자,75-79세,19708
그룹4,2021,남자,80~84세,18108
그룹4,2021,남자,85세이상,13951
그룹4,2021,여자,0~4세,12035
그룹4,2021,여자,5-9세,369
그룹4,2021,여자,10-14세,384
그룹4,2021,여자,15-19세,682
그룹4,2021,여자,20-24세,1021
그룹4,2021,여자,25-29세,1223
그룹4,2021,여자,30-34세,1391
그룹4,2021,여자,35-39세,1979
그룹4,2021,여자,40-44세,2760
그룹4,2021,여자,45-49세,3773
그룹4,2021,여자,50-54세,5591
그룹4,2021,여자,55-59세,6795
그룹4,2021,여자,60-64세,9680
그룹4,2021,여자,65-69세,10940
그룹4,2021,여자,70-74세,12376
그룹4,2021,여자,75-79세,15839
그룹4,2021,여자,80~84세,19115
그룹4,2021,여자,85세이상,22818
그룹4,2022,남자,0~4세,15118
그룹4,2022,남자,5-9세,432
그룹4,2022,남자,10-14세,499
그룹4,2022,남자,15-19세,729
그룹4,2022,남자,20-24세,1092
그룹4,2022,남자,25-29세,1495
그룹4,2022,남자,30-34세,1918
그룹4,2022,남자,35-39세,2734
그룹4,2022,남자,40-44세,4671
그룹4,2022,남자,45-49세,6741
그룹4,2022,남자,50-54세,10873
그룹4,2022,남자,55-59세,13940
그룹4,2022,남자,60-64세,19842
그룹4,2022,남자,65-69세,20790
그룹4,2022,남자,70-74세,20493
그룹4,2022,남자,75-79세,20058
그룹4,2022,남자,80~84세,20253
그룹4,2022,남자,85세이상,16187
그룹4,2022,여자,0~4세,12016
그룹4,2022,여자,5-9세,329
그룹4,2022,여자,10-14세,430
그룹4,2022,여자,15-19세,695
그룹4,2022,여자,20-24세,863
그룹4,2022,여자,25-29세,1167
그룹4,2022,여자,30-34세,1440
그룹4,2022,여자,35-39세,1812
그룹4,2022,여자,40-44세,2724
그룹4,2022,여자,45-49세,3759
그룹4,2022,여자,50-54세,5512
그룹4,2022,여자,55-59세,6740
그룹4,2022,여자,60-64세,9867
그룹4,2022,여자,65-69세,11197
그룹4,2022,여자,70-74세,12848
그룹4,2022,여자,75-79세,15080
그룹4,2022,여자,80~84세,20711
그룹4,2022,여자,85세이상,26090
그룹4,2023,남자,0~4세,14885
그룹4,2023,남자,5-9세,501
그룹4,2023,남자,10-14세,529
그룹4,2023,남자,15-19세,773
그룹4,2023,남자,20-24세,1074
그룹4,2023,남자,25-29세,1567
그룹4,2023,남자,30-34세,2114
그룹4,2023,남자,35-39세,2808
그룹4,2023,남자,40-44세,4958
그룹4,2023,남자,45-49세,6789
그룹4,2023,남자,50-54세,11401
그룹4,2023,남자,55-59세,15226
그룹4,2023,남자,60-64세,21145
그룹4,2023,남자,65-69세,23393
그룹4,2023,남자,70-74세,22050
그룹4,2023,남자,75-79세,22684
그룹4,2023,남자,80~84세,22469
그룹4,2023,남자,85세이상,19154
그룹4,2023,여자,0~4세,12076
그룹4,2023,여자,5-9세,415
그룹4,2023,여자,10-14세,450
그룹4,2023,여자,15-19세,767
그룹4,2023,여자,20-24세,1009
그룹4,2023,여자,25-29세,1308
그룹4,2023,여자,30-34세,1568
그룹4,2023,여자,35-39세,1988
그룹4,2023,여자,40-44세,2958
그룹4,2023,여자,45-49세,3937
그룹4,2023,여자,50-54세,5926
그룹4,2023,여자,55-59세,7316
그룹4,2023,여자,60-64세,10190
그룹4,2023,여자,65-69세,12221
그룹4,2023,여자,70-74세,13503
그룹4,2023,여자,75-79세,16580
그룹4,2023,여자,80~84세,22493
그룹4,2023,여자,85세이상,29831
그룹4,2024,남자,0~4세,15884
그룹4,2024,남자,5-9세,461
그룹4,2024,남자,10-14세,508
그룹4,2024,남자,15-19세,817
그룹4,2024,남자,20-24세,976
그룹4,2024,남자,25-29세,1479
그룹4,2024,남자,30-34세,2131
그룹4,2024,남자,35-39세,2703
그룹4,2024,남자,40-44세,4760
그룹4,2024,남자,45-49세,6438
그룹4,2024,남자,50-54세,10906
그룹4,2024,남자,55-59세,14884
그룹4,2024,남자,60-64세,19975
그룹4,2024,남자,65-69세,23443
그룹4,2024,남자,70-74세,21923
그룹4,2024,남자,75-79세,22962
그룹4,2024,남자,80~84세,21800
그룹4,2024,남자,85세이상,20287
그룹4,2024,여자,0~4세,12854
그룹4,2024,여자,5-9세,343
그룹4,2024,여자,10-14세,420
그룹4,2024,여자,15-19세,738
그룹4,2024,여자,20-24세,893
그룹4,2024,여자,25-29세,1272
그룹4,2024,여자,30-34세,1637
그룹4,2024,여자,35-39세,1947
그룹4,2024,여자,40-44세,2868
그룹4,2024,여자,45-49세,3646
그룹4,2024,여자,50-54세,5482
그룹4,2024,여자,55-59세,7018
그룹4,2024,여자,60-64세,9598
그룹4,2024,여자,65-69세,12124
그룹4,2024,여자,70-74세,13247
그룹4,2024,여자,75-79세,16478
그룹4,2024,여자,80~84세,21612
그룹4,2024,여자,85세이상,31913
그룹5,2020,남자,0~4세,6927
그룹5,2020,남자,5-9세,6286
그룹5,2020,남자,10-14세,12895
그룹5,2020,남자,15-19세,21524
그룹5,2020,남자,20-24세,29553
그룹5,2020,남자,25-29세,40182
그룹5,2020,남자,30-34세,35351
그룹5,2020,남자,35-39세,38487
그룹5,2020,남자,40-44세,40162
그룹5,2020,남자,45-49세,45684
그룹5,2020,남자,50-54세,51674
그룹5,2020,남자,55-59세,57542
그룹5,2020,남자,60-64세,62081
그룹5,2020,남자,65-69세,49152
그룹5,2020,남자,70-74세,38755
그룹5,2020,남자,75-79세,28882
그룹5,2020,남자,80~84세,17961
그룹5,2020,남자,85세이상,9194
그룹5,2020,여자,0~4세,4973
그룹5,2020,여자,5-9세,6901
그룹5,2020,여자,10-14세,14004
그룹5,2020,여자,15-19세,22137
그룹5,2020,여자,20-24세,33871
그룹5,2020,여자,25-29세,43199
그룹5,2020,여자,30-34세,36425
그룹5,2020,여자,35-39세,36604
그룹5,2020,여자,40-44세,36679
그룹5,2020,여자,45-49세,43140
